,author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_meter
200,real_estate_agent,Москва,13,25,1,38.0,19100000,2023,16.76295517100911,11.4,Хорошево-Мневники, Шеногина,Народное Ополчение,502631.58
201,real_estate_agent,Москва,12,16,1,28.0,8750000,2014,15.0,8.0,Москва, Гренадерская,Филатов Луг,312500.0
202,real_estate_agent,Москва,9,15,1,42.8,19000000,2023,15.0,17.0,Даниловский, Родченко,ЗИЛ,443925.23
203,real_estate_agent,Москва,2,7,2,64.1,36450000,1949,37.0,8.3,Пресненский,Садовая-Кудринская ,Баррикадная,568642.75
204,homeowner,Москва,2,5,2,42.2,15000000,1960,27.056317646193406,6.0,Гагаринский,Ленинский проспект,Ленинский проспект,355450.24
205,developer,Москва,33,34,4,134.6,71068800,2022,101.0,16.1,Останкинский, Годовикова,Алексеевская,528000.0
206,developer,Москва,2,43,4,94.3,52930873,2025,46.2,8.0,Хорошево-Мневники,к5/2,Звенигородская,561303.0
207,real_estate_agent,Москва,24,24,4,120.0,57000000,2014,72.0,27.0,Раменки, Лобачевского,Аминьевская,475000.0
208,developer,Москва,21,30,4,98.34,34629917,2023,54.96100091623765,20.9,Можайский, Петра Алексеева,Рабочий посёлок,352144.77
209,real_estate_agent,Москва,6,10,2,70.0,88000000,2014,40.0,19.0,Тверской, Фадеева,Новослободская,1257142.86
210,developer,Москва,12,30,2,56.31,21423871,2027,21.2,15.3,Кунцево,48-й кв-л,Кунцевская,380462.99
211,real_estate_agent,Москва,6,6,4,130.0,85000000,1909,87.0,11.2,Мещанский,переулок Колокольников,Трубная,653846.15
212,real_estate_agent,Москва,12,17,1,38.8,11100000,1987,20.0,8.5,Новокосино,Городецкая ,Новокосино,286082.47
213,real_estate_agent,Москва,5,8,4,75.0,59500000,2014,60.0,10.0,Замоскворечье,переулок Старый Толмачевский,Новокузнецкая,793333.33
214,developer,Москва,3,3,2,54.5,11063500,2023,29.845247617283377,10.5,Москва, Генерала Донскова,Апрелевка,203000.0
215,unknown,Москва,2,6,2,70.0,31600000,2022,34.0,24.0,Москворечье-Сабурово,переулок 1-й Котляковский,Варшавская,451428.57
