,author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_meter
582,homeowner,Кубинка,5,5,2,49.0,6700000,1978,30.0,6.4,Кубинка,шоссе Наро-Фоминское,Славянский бульвар,136734.69
583,real_estate_agent,Кубинка,5,5,2,42.5,4800000,2014,27.2,6.1,Большие Вяземы рп, Городок-17,Кубинка,112941.18
585,homeowner,Кубинка,1,3,3,72.6,4500000,1991,43.5,10.3,Кубинка, Сосновка,Кубинка,61983.47
586,real_estate_agent,Кубинка,2,2,3,69.7,4200000,2014,45.0,8.0,Кубинка, Генерала Вотинцева,Кубинка,60258.25
589,real_estate_agent,Кубинка,3,3,3,70.0,6000000,2014,43.2,10.3,Кубинка, Сосновка,Кубинка,85714.29
590,real_estate_agent,Кубинка,4,5,3,54.2,6190000,2014,36.9,5.7,Кубинка,шоссе Наро-Фоминское,Кубинка,114206.64
591,homeowner,Кубинка,2,3,3,69.8,5400000,1993,43.1,12.2,Кубинка, Сосновка,Кубинка,77363.9
594,homeowner,Кубинка,2,2,3,76.0,5800000,1950,20.0,10.0,Кубинка, Генерала Вотинцева,Кубинка,76315.79
595,real_estate_agent,Кубинка,8,12,1,45.0,5580000,2008,18.0,12.0,д. Малые Вяземы,Петровское шоссе,Кубинка,124000.0
598,realtor,Кубинка,5,5,1,41.0,5450000,2001,18.0,12.0,Кубинка,Советская ,Одинцово,132926.83
602,homeowner,Кубинка,5,19,1,39.7,6800000,2015,20.84039050882447,8.1,Кубинка,Заводской проспект,Апрелевка,171284.63
604,realtor,Кубинка,1,2,3,86.2,6820000,1958,58.3,7.9,Кубинка,Виндавский проспект,Крёкшино,79118.33
607,real_estate_agent,Кубинка,2,3,4,94.6,6100000,2014,63.5,12.0,Кубинка, Сосновка,Кубинка,64482.03
611,realtor,Кубинка,2,2,3,55.0,5000000,1964,40.0,5.8,Большие Вяземы рп, Городок-17,Кубинка,90909.09
