,author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_meter
1532,homeowner,Химки,15,25,1,40.6,10800000,2014,20.356372906784514,10.9,Химки,Зеленая ,Левобережная,266009.85
1533,homeowner,Химки,11,25,1,42.3,10800000,2017,21.262432343824912,11.5,Химки,9 Мая ,Молжаниново,255319.15
1534,realtor,Химки,1,8,1,44.4,10772600,2017,23.96902582168684,10.0,Химки, Ивановская,Молжаниново,242626.13
1535,realtor,Химки,18,28,1,46.0,10999000,2017,17.0,11.5,Химки,Ленинский проспект,Химки,239108.7
1536,realtor,Химки,20,23,1,42.3,11000000,2011,18.0,10.0,Химки, Горшина,Химки,260047.28
1537,homeowner,Химки,14,24,1,43.2,11000000,2018,23.2,9.2,Химки,Ленинский проспект,Химки,254629.63
1538,homeowner,Химки,7,25,1,46.9,11000000,2017,25.0,10.0,Химки,Молодежная ,Молжаниново,234541.58
1539,homeowner,Химки,2,25,1,41.6,11000000,2012,21.397088478479077,11.3,Химки, Калинина,Химки,264423.08
1540,realtor,Химки,17,28,1,46.8,11170000,2014,23.92907159168871,13.5,мкр. Новые Химки, Бабакина,Химки,238675.21
1541,realtor,Химки,15,24,1,47.0,11100000,2014,23.0,10.0,Химки, Ватутина,Химки,236170.21
1542,homeowner,Химки,5,25,1,54.8,11100000,2016,19.3,12.8,Химки,Ленинский проспект,Химки,202554.74
1543,homeowner,Химки,15,25,1,39.9,11200000,2018,30.0,8.4,Химки,проспект Мельникова,Молжаниново,280701.75
1544,homeowner,Химки,8,26,1,46.2,11200000,2018,23.8,9.4,Химки,Ленинский проспект,Химки,242424.24
1545,homeowner,Химки,15,25,1,42.0,11350000,2007,18.0,10.0,Химки, Панфилова,Химки,270238.1
1587,homeowner,Химки,7,17,1,37.1,7250000,2019,16.6,9.6,Химки,Железнодорожная ,Сходня,195417.79
1588,homeowner,Химки,11,17,1,30.0,7500000,2020,15.0,8.6,Химки, Имени К.И. Вороницына,Химки,250000.0
1589,homeowner,Химки,19,19,1,43.5,8000000,2014,14.5,12.5,Химки,переулок 2-й Чапаевский,Сходня,183908.05
1590,homeowner,Химки,17,17,1,36.6,8200000,1999,19.0,8.0,Химки,Молодежная ,Сходненская,224043.72
1591,homeowner,Химки,4,17,1,30.6,8250000,2019,14.9,8.6,Химки, Имени К.И. Вороницына,Химки,269607.84
1592,homeowner,Химки,14,17,1,54.0,10900000,2003,42.0,10.0,Химки,Юбилейный проспект,Химки,201851.85
1601,developer,Химки,7,8,2,55.9,10856303,2022,30.31881562838504,10.9,Химки, Генерала Дьяконова,Водники,194209.36
1607,real_estate_agent,Химки,3,12,2,53.0,11000000,1998,25.0,12.0,Химки, Панфилова,Химки,207547.17
1609,real_estate_agent,Химки,11,17,1,57.0,9700000,2014,22.0,16.0,Химки, Бабакина,Сходненская,170175.44
1612,homeowner,Химки,8,12,2,44.3,9999900,1969,29.6,5.7,Химки,9 Мая ,Химки,225731.38
1613,realtor,Химки,7,14,2,55.0,10700000,2014,30.0,8.0,Химки, Дружбы,Молжаниново,194545.45
1618,developer,Химки,4,8,1,39.7,8750299,2022,20.80479328435416,9.8,Химки, Генерала Дьяконова,Водники,220410.55
1619,real_estate_agent,Химки,20,22,1,41.7,9000000,2014,17.7,10.4,Химки, Горшина,Химки,215827.34
1622,realtor,Химки,24,24,1,45.7,9500000,2018,14.0,19.0,Химки,Совхозная ,Левобережная,207877.46
1624,realtor,Химки,18,22,1,45.0,9500000,2008,20.0,10.5,Химки, Мельникова,Молжаниново,211111.11
1626,developer,Химки,7,8,1,39.1,9477838,2022,20.273379058556372,9.8,Химки, Генерала Дьяконова,Водники,242399.95
1627,realtor,Химки,24,25,1,41.0,11200000,2017,16.0,16.0,Химки,9 Мая ,Молжаниново,273170.73
1629,developer,Химки,8,8,1,40.1,9960400,2022,20.819544882237523,9.8,Химки, Генерала Дьяконова,Водники,248389.03
1631,developer,Химки,8,8,1,39.2,9260842,2023,20.26238514470026,9.8,Химки, Генерала Дьяконова,Водники,236245.97
1634,real_estate_agent,Химки,16,21,1,33.7,7911960,2023,15.924821229371872,10.4,Химки, Имени К.И. Вороницына,Химки,234776.26
1636,real_estate_agent,Химки,21,21,1,30.9,7634627,2023,14.065198000596268,10.2,Химки, Имени К.И. Вороницына,Химки,247075.31
1637,real_estate_agent,Химки,19,25,1,42.0,8500000,2014,18.0,10.0,Химки, Горшина,Химки,202380.95
1638,real_estate_agent,Химки,21,21,1,32.8,8591142,2023,15.096086687584688,10.3,Химки, Имени К.И. Вороницына,Химки,261925.06
1639,homeowner,Химки,12,17,1,38.4,8800000,1993,19.1,7.0,Химки,Молодежная ,Сходненская,229166.67
1642,homeowner,Химки,8,17,1,43.2,8250000,2014,18.0,11.2,Химки,Центральная ,Подрезково,190972.22
1644,real_estate_agent,Химки,19,21,1,32.3,7762321,2023,14.991624568904712,10.3,Химки, Имени К.И. Вороницына,Химки,240319.54
1645,real_estate_agent,Химки,8,9,1,33.6,7200000,2018,14.4,8.1,Химки, Германа Титова,Химки,214285.71
1647,real_estate_agent,Химки,17,21,1,39.8,9875844,2023,19.46187281796597,10.9,Химки, Имени К.И. Вороницына,Химки,248136.78
1648,realtor,Химки,18,22,1,41.9,8000000,2006,22.28718140773887,11.0,Химки, Мельникова,Молжаниново,190930.79
1649,developer,Химки,8,8,1,38.8,8210233,2022,20.239224999530933,9.7,Химки, Генерала Дьяконова,Водники,211603.94
1650,developer,Химки,8,8,1,40.1,8466340,2022,21.005648168588863,9.8,Химки, Генерала Дьяконова,Водники,211130.67
1651,developer,Химки,5,8,1,38.9,9418963,2022,20.196305409027985,9.8,Химки, Генерала Дьяконова,Водники,242132.72
1656,real_estate_agent,Химки,2,26,1,41.4,8900000,2017,21.022251285879065,9.0,Химки,9 Мая ,Молжаниново,214975.85
1657,real_estate_agent,Химки,17,17,1,39.0,7500000,2014,19.8,8.3,Химки, Панфилова,Планерная,192307.69
1658,real_estate_agent,Химки,5,25,1,47.0,9000000,2010,23.0,15.0,Химки,Совхозная ,Левобережная,191489.36
1659,real_estate_agent,Химки,13,18,1,35.0,7000000,2014,17.0,8.0,Химки, Германа Титова,Молжаниново,200000.0
1660,realtor,Химки,5,5,1,34.2,7400000,2019,20.0,11.0,Химки, Ивановская,Молжаниново,216374.27
1661,real_estate_agent,Химки,14,23,1,41.5,8990000,2016,17.7,10.4,Химки, Родионова,Молжаниново,216626.51
1665,homeowner,Химки,15,25,1,42.0,8900000,2006,18.0,11.0,Химки,Молодежная ,Молжаниново,211904.76
1667,homeowner,Химки,15,17,1,43.5,7880000,2014,18.0,11.5,Химки, 1-я Лесная,Подрезково,181149.43
1669,homeowner,Химки,3,19,1,44.7,7990000,2007,23.8,9.6,Химки,Юбилейный проезд,Сходня,178747.2
1671,homeowner,Химки,2,9,1,42.0,9200000,2012,20.0,10.0,Химки,Ленинский проспект,Химки,219047.62
1672,real_estate_agent,Химки,9,25,1,34.7,7100000,2017,16.0,8.0,Химки,Молодежная ,Молжаниново,204610.95
1673,real_estate_agent,Химки,12,13,1,40.4,7500000,2002,17.7,10.2,Химки,проспект Мельникова,Молжаниново,185643.56
1675,realtor,Химки,11,25,1,46.0,10000000,2014,20.0,12.0,Химки,проспект Мельникова,Молжаниново,217391.3
1676,real_estate_agent,Химки,4,8,1,37.0,7450000,2014,18.0,8.0,Химки, Германа Титова,Химки,201351.35
1678,real_estate_agent,Химки,21,23,1,48.0,9500000,2013,25.0,12.0,Химки, Дружбы,Молжаниново,197916.67
1679,unknown,Химки,2,5,1,34.4,7200000,2018,16.5,11.5,Химки, Ивановская,Молжаниново,209302.33
1681,real_estate_agent,Химки,13,17,1,45.8,7750000,2013,19.0,13.0,Химки, Мичурина,Сходня,169213.97
1682,realtor,Химки,2,27,1,41.5,8490000,2005,17.6,10.5,Химки,Молодежная ,Молжаниново,204578.31
1683,realtor,Химки,15,28,1,50.0,10290000,2014,21.0,14.0,мкр. Новые Химки, Бабакина,Химки,205800.0
1684,real_estate_agent,Химки,11,14,1,42.2,7490000,2013,19.0,13.0,Химки, 1-я Лесная,Подрезково,177488.15
1686,realtor,Химки,11,23,1,43.4,9200000,2011,18.0,10.0,Химки, Горшина,Химки,211981.57
1687,homeowner,Химки,6,16,1,38.0,7200000,2013,15.0,11.0,Химки, Мичурина,Сходня,189473.68
1688,realtor,Химки,13,25,1,41.7,8500000,2014,17.6,10.5,Химки,Молодежная ,Молжаниново,203836.93
1689,realtor,Химки,9,25,1,41.5,9000000,2014,17.7,10.1,Химки,Совхозная ,Левобережная,216867.47
1690,realtor,Химки,8,17,1,41.0,7500000,2021,17.0,11.2,Химки, 1-я Лесная,Подрезково,182926.83
1691,real_estate_agent,Химки,8,17,1,42.0,8900000,2003,18.0,11.0,Химки,Юбилейный проспект,Химки,211904.76
1693,realtor,Химки,6,9,1,54.3,11200000,2010,30.31550579396702,10.3,Химки, Береговая,Химки,206261.51
1694,homeowner,Химки,14,17,1,34.0,7000000,2019,16.949515970880384,7.0,Химки, Германа Титова,Химки,205882.35
1697,realtor,Химки,10,24,1,38.5,9450000,2015,19.29139606588012,10.0,Химки,Московская ,Химки,245454.55
1704,realtor,Химки,11,27,1,41.0,8800000,2014,19.0,10.0,Химки,Совхозная ,Левобережная,214634.15
1705,homeowner,Химки,4,6,1,33.0,7200000,2014,14.0,8.0,Химки,проезд Набережный,Шереметьевская,218181.82
1706,realtor,Химки,13,17,1,38.8,7400000,1998,19.0,8.0,Химки, Бабакина,Планерная,190721.65
1708,realtor,Химки,15,26,1,55.06,9900000,2016,21.4,13.6,Химки,9 Мая ,Молжаниново,179803.85
1709,homeowner,Химки,4,9,1,33.5,7500000,2014,15.1,10.0,Химки,Ленинский проспект,Химки,223880.6
1710,real_estate_agent,Химки,7,25,1,36.5,10500000,2014,15.0,10.0,Химки,Юбилейный проспект,Химки,287671.23
1712,realtor,Химки,12,18,1,26.6,7000000,2020,17.8,8.1,Химки, Имени К.И. Вороницына,Химки,263157.89
1713,real_estate_agent,Химки,17,26,1,34.0,7350000,2014,15.0,10.0,Химки,9 Мая ,Молжаниново,216176.47
1714,realtor,Химки,7,19,1,45.5,7999000,2013,18.1,15.6,Химки, Мичурина,Сходня,175802.2
1716,realtor,Химки,3,5,1,33.2,7500000,2018,15.0,8.0,Химки, Ивановская,Молжаниново,225903.61
1717,homeowner,Химки,2,17,1,45.3,7280000,2016,25.0,12.0,Химки, Германа Титова,Химки,160706.4
1720,real_estate_agent,Химки,17,17,1,32.6,7600000,2019,15.2,9.0,Химки, Германа Титова,Химки,233128.83
1721,real_estate_agent,Химки,7,25,1,43.4,8990000,2017,17.7,10.4,Химки,Молодежная ,Молжаниново,207142.86
1722,homeowner,Химки,12,13,1,33.6,7550000,1994,18.6,9.0,Химки, Панфилова,Химки,224702.38
1723,real_estate_agent,Химки,16,18,1,30.0,7600000,2014,15.0,8.7,Химки, Имени К.И. Вороницына,Химки,253333.33
1725,realtor,Химки,19,25,1,45.2,10500000,2014,19.0,11.9,Химки,проспект Мельникова,Молжаниново,232300.88
1726,real_estate_agent,Химки,10,25,1,42.0,7700000,2014,21.671193054551708,10.9,мкр. Новые Химки,Молодежная ,Химки,183333.33
1727,homeowner,Химки,2,17,1,36.0,7100000,2013,20.0,9.0,Химки, Мичурина,Сходня,197222.22
1731,homeowner,Химки,2,10,1,33.0,7350000,2015,16.0,9.0,Химки, Германа Титова,Молжаниново,222727.27
1732,realtor,Химки,14,17,1,31.7,7500000,2014,18.0,9.0,Химки, Германа Титова,Химки,236593.06
1733,real_estate_agent,Химки,4,17,1,33.0,7900000,2017,16.497568969606505,8.0,Химки, Германа Титова,Химки,239393.94
1735,realtor,Химки,11,19,1,40.1,7400000,2014,20.0,10.0,Химки,Центральная ,Подрезково,184538.65
1736,realtor,Химки,17,19,1,38.6,7500000,2007,20.0,10.0,Химки,Юбилейный проезд,Сходня,194300.52
1737,homeowner,Химки,15,18,1,36.1,7300000,2019,19.0,15.0,Химки, Германа Титова,Молжаниново,202216.07
1740,realtor,Химки,8,17,1,36.4,7500000,2014,15.0,10.7,Химки, Германа Титова,Молжаниново,206043.96
1742,real_estate_agent,Химки,7,17,1,30.0,7100000,2014,14.0,9.0,Химки, Имени К.И. Вороницына,Химки,236666.67
1743,realtor,Химки,17,17,1,32.0,7300000,2014,15.96662724412829,9.0,Химки, Германа Титова,Химки,228125.0
1745,realtor,Химки,4,27,1,36.5,7400000,2005,18.5,10.2,Химки,Молодежная ,Молжаниново,202739.73
1746,real_estate_agent,Химки,6,13,1,35.2,7200000,1987,18.0,7.5,Химки, Панфилова,Химки,204545.45
1747,real_estate_agent,Химки,2,27,1,42.0,8270000,2005,18.0,10.0,Химки,Молодежная ,Молжаниново,196904.76
1748,realtor,Химки,9,25,1,47.0,8499999,2007,17.8,10.0,Химки,Молодежная ,Молжаниново,180851.04
1750,real_estate_agent,Химки,22,25,1,44.0,9900000,2016,17.7,10.0,Химки,Совхозная ,Левобережная,225000.0
1751,real_estate_agent,Химки,14,17,1,48.7,7990000,2014,26.08495710606971,13.6,Химки, Микояна,Сходня,164065.71
1753,real_estate_agent,Химки,16,25,1,38.4,10300000,2013,19.6,11.0,Химки, Ватутина,Химки,268229.17
1758,real_estate_agent,Химки,2,17,1,36.0,8900000,2014,18.0,9.0,Химки, Панфилова,Химки,247222.22
1759,real_estate_agent,Химки,12,27,1,32.0,8990000,2016,18.0,6.0,Химки,Молодежная ,Молжаниново,280937.5
1760,realtor,Химки,14,17,1,50.2,8900000,2012,21.8,12.0,Химки,Совхозная ,Левобережная,177290.84
1761,realtor,Химки,14,17,1,45.0,8980000,2007,20.0,16.0,Химки, 8 Марта,Химки,199555.56
1762,real_estate_agent,Химки,15,25,1,42.0,8900000,2006,18.0,11.0,Химки,Молодежная ,Молжаниново,211904.76
1763,real_estate_agent,Химки,8,17,1,42.0,9100000,2003,18.0,11.0,Химки,Юбилейный проспект,Химки,216666.67
1764,real_estate_agent,Химки,5,17,1,43.0,9260000,2017,22.0,12.5,Химки, Германа Титова,Молжаниново,215348.84
1765,realtor,Химки,19,25,1,36.4,9500000,2017,17.524110198985255,10.0,Химки,Совхозная ,Левобережная,260989.01
1767,real_estate_agent,Химки,17,22,1,44.0,10300000,2007,25.0,12.0,Химки, Горшина,Химки,234090.91
1768,official_representative,Химки,15,17,1,41.0,7100000,2012,21.764832362976648,15.0,Химки,тупик 2-й Мичуринский,Сходня,173170.73
1769,real_estate_agent,Химки,2,18,1,41.7,8200000,2006,19.0,11.0,Химки, Мельникова,Молжаниново,196642.69
1770,real_estate_agent,Химки,9,12,1,44.6,7400000,2009,18.0,11.6,Химки, Жаринова,Подрезково,165919.28
1774,realtor,Химки,4,18,1,40.0,8250000,2016,28.0,10.0,Химки,проезд Транспортный,Химки,206250.0
1775,real_estate_agent,Химки,17,17,1,38.5,7500000,2003,19.0,8.0,Химки, Марии Рубцовой,Молжаниново,194805.19
1777,real_estate_agent,Химки,10,25,1,43.6,10200000,2014,17.2,14.2,Химки,проспект Мельникова,Молжаниново,233944.95
1778,real_estate_agent,Химки,4,10,1,56.0,9900000,2014,31.0,15.0,Химки, Береговая,Химки,176785.71
1779,realtor,Химки,2,16,1,39.0,7800000,2019,20.226339969406155,12.0,Химки, Германа Титова,Молжаниново,200000.0
1781,realtor,Химки,15,17,1,40.0,7300000,2014,20.97603047505055,10.0,мкр. Сходня,тупик 2-й Мичуринский,Химки,182500.0
1784,homeowner,Химки,6,9,1,33.1,7000000,2015,25.0,6.0,Химки, Летчика Ивана Федорова,Шереметьевская,211480.36
1785,real_estate_agent,Химки,6,8,1,30.0,7000000,2012,15.762642434395929,10.0,Химки,Овражная ,Подрезково,233333.33
1787,real_estate_agent,Химки,6,27,1,46.3,10300000,2016,18.2,17.8,Химки,Молодежная ,Молжаниново,222462.2
1788,homeowner,Химки,4,6,1,37.0,7900000,2014,15.0,8.0,Химки,проезд Набережный,Шереметьевская,213513.51
1789,realtor,Химки,17,25,1,39.0,8299999,2009,20.0,10.4,Химки,Молодежная ,Молжаниново,212820.49
1814,realtor,Реутов,4,9,1,32.3,7200000,1968,21.5,6.0,Реутов, Калинина,Реутов,222910.22
1815,unknown,Королёв,4,5,1,30.0,5649000,1972,19.0,6.0,Королёв,Комитетская ,Медведково,188300.0
1818,real_estate_agent,Мытищи,7,9,2,44.5,8499999,2014,20.0,8.0,Мытищи,Олимпийский проспект,Медведково,191011.21
1819,realtor,Долгопрудный,3,16,1,35.0,7300000,1992,19.0,10.0,Долгопрудный,проспект Пацаева,Водники,208571.43
1820,real_estate_agent,Одинцово,11,20,2,55.7,9600000,2009,27.0,16.5,Одинцово, Кутузовская,Сколково,172351.89
1822,homeowner,Красногорск,3,5,2,41.0,7999000,1968,27.0,5.7,Красногорск,Заводская ,Павшино,195097.56
1823,realtor,Мытищи,3,14,1,37.8,8190000,1997,16.6,12.8,Мытищи,Новомытищинский проспект,Медведково,216666.67
1826,real_estate_agent,Красногорск,2,5,2,44.7,7800000,1971,28.38722239665995,7.0,Красногорск, Георгия Димитрова,Красногорская,174496.64
1827,real_estate_agent,Люберцы,4,5,2,47.3,6500000,1965,30.4,6.0,Люберцы, Космонавтов,Панки,137420.72
1831,realtor,Люберцы,4,22,1,38.0,8550000,2023,21.0,10.0,Люберцы,Красноармейская ,Люберцы,225000.0
1841,developer,Москва,2,2,1,92.2,10850000,2023,51.16598229116897,12.7,Кострома,проспект Текстильщиков,Москва,117678.96
1850,developer,Москва,2,2,1,96.9,11350000,2023,53.79695224586453,13.0,Кострома,проспект Текстильщиков,Москва,117131.06
2065,representative_developer,Москва,2,2,2,89.09,16748920,2025,28.8,32.1,Кострома, Щемиловка,Москва,188000.0
2072,representative_developer,Москва,1,2,2,87.61,16207850,2025,28.7,32.1,Кострома, Щемиловка,Москва,185000.0
2075,real_estate_agent,Москва,3,14,2,72.4,9000000,2020,33.5,14.2,Кострома, Евгения Ермакова,Москва,124309.39
2076,homeowner,Москва,8,9,2,59.1,9000000,2014,33.8,9.5,Кострома, Стопани,Москва,152284.26
2112,real_estate_agent,Москва,5,5,2,65.0,8500000,2016,37.0,13.0,Кострома,Мясницкая ,Москва,130769.23
2120,real_estate_agent,Москва,2,9,2,57.2,9199000,2022,32.0,12.0,Кострома,Профсоюзная ,Москва,160821.68
2127,real_estate_agent,Москва,7,9,2,71.5,10700000,2017,40.0,12.0,Кострома,Бульварная ,Москва,149650.35
2137,real_estate_agent,Москва,12,15,2,66.0,8500000,2017,40.0,15.0,Кострома, Ивана Сусанина,Москва,128787.88
2161,real_estate_agent,Москва,3,4,3,84.47,11174000,2016,54.0,15.5,Кострома, 8 Марта,Москва,132283.65
2163,real_estate_agent,Москва,4,9,4,110.0,14000000,2014,46.0,33.0,Кострома,Давыдовская ,Москва,127272.73
2166,real_estate_agent,Москва,2,4,4,125.0,17750000,2014,86.0,16.0,Кострома,Хвойная ,Москва,142000.0
2167,real_estate_agent,Москва,3,4,4,92.0,13500000,1938,60.0,20.0,Кострома, Шагова,Москва,146739.13
2171,realtor,Москва,1,4,4,169.1,16000000,2000,114.0,13.5,Кострома, Северной Правды,Москва,94618.57
2172,real_estate_agent,Москва,5,5,4,100.2,10300000,2011,56.19372322187053,14.0,Кострома,Костромская ,Москва,102794.41
2175,real_estate_agent,Москва,2,4,5,172.5,28000000,2008,130.0,15.0,Пантусово мкр,бульвар Михалевский,Москва,162318.84
2176,real_estate_agent,Москва,3,3,5,248.0,11800000,2014,210.0,18.0,Кострома, Нижняя Дебря,Москва,47580.65
2178,real_estate_agent,Москва,5,9,5,110.9,10000000,1983,85.0,10.0,Кострома, Ленина,Москва,90171.33
2179,real_estate_agent,Москва,1,3,5,176.4,11695000,2011,97.61838146363434,30.0,Кострома,Ямская ,Москва,66298.19
2180,real_estate_agent,Москва,1,3,5,176.4,11695000,2015,102.0,30.0,Кострома,Ямская ,Москва,66298.19
2181,real_estate_agent,Москва,2,2,5,242.0,16500000,2014,186.0,10.0,Кострома,Советская ,Москва,68181.82
2183,real_estate_agent,Москва,5,6,5,114.6,14300000,2014,75.0,22.0,Кострома,Новосельская ,Москва,124781.85
2185,developer,Москва,6,8,3,82.08,10998720,2025,28.3,15.9,Кострома, Скворцова,Москва,134000.0
2186,developer,Москва,4,4,3,72.0,12050000,2024,39.77003030427002,11.8,Кострома, Свердлова,Москва,167361.11
2191,real_estate_agent,Москва,1,2,3,120.0,10500000,1917,105.0,10.0,Кострома, Островского,Москва,87500.0
2227,homeowner,Москва,17,17,2,64.0,10700000,2014,34.0,21.1,Москва,бульвар Генерала Ремезова,Одинцово,167187.5
2232,realtor,Москва,17,17,2,76.3,13700000,2014,39.0,11.0,Москва,Заводской проспект,Апрелевка,179554.39
2239,real_estate_agent,Москва,6,12,3,77.9,8900000,2015,48.0,10.5,Москва,проезд Промышленный,Одинцово,114249.04
2245,homeowner,Москва,1,5,3,72.6,11000000,1995,44.2,11.8,Москва,Советская ,Одинцово,151515.15
2246,real_estate_agent,Одинцово,1,5,3,62.7,8100000,1976,46.9,6.2,Большие Вяземы рп, Институт,Одинцово,129186.6
2247,realtor,Люберцы,21,25,1,34.5,8500000,2018,15.2,8.6,Люберцы, Юности,Лухмановская,246376.81
2250,real_estate_agent,Балашиха,2,3,2,41.8,5499999,1930,29.0,6.0,Балашиха,Спортивная ,Салтыковская,131578.92
2252,real_estate_agent,Королёв,4,4,2,42.0,5600000,1965,29.0,22.0,Королёв,Станционная ,Медведково,133333.33
2253,unknown,Реутов,3,4,2,59.5,9200000,1956,32.3,9.7,Реутов, Ленина,Реутов,154621.85
2255,real_estate_agent,Балашиха,5,16,1,41.0,6300000,2015,16.2,12.2,Балашиха, Брагина,Кучино,153658.54
2256,unknown,Мытищи,10,17,1,34.4,7150000,2014,16.0,8.6,д. Бородино, Малая Бородинская,Мытищи,207848.84
2257,real_estate_agent,Одинцово,11,20,2,55.7,9599000,2009,27.0,16.5,Одинцово, Кутузовская,Сколково,172333.93
2260,realtor,Одинцово,8,20,2,60.0,9300000,2012,32.64471730608946,12.0,Одинцово, Белорусская,Одинцово,155000.0
2261,real_estate_agent,Люберцы,7,17,1,34.0,6300000,2016,15.0,10.0,Люберцы, Вертолетная,Некрасовка,185294.12
2264,real_estate_agent,Орехово-Зуево,2,2,2,56.0,3299000,1958,32.8,8.6,Орехово-Зуево,Аэродромная ,Орехово-Зуево,58910.71
2266,real_estate_agent,Реутов,3,5,2,43.7,8690000,1971,28.0,6.0,Реутов,Советская ,Реутов,198855.84
2267,real_estate_agent,Дзержинский,2,5,2,41.7,6300000,1966,25.8,6.0,Дзержинский, Бондарева,Котельники,151079.14
2268,homeowner,Лобня,6,17,1,40.0,6000000,2014,15.6,9.4,Лобня,Молодежная ,Лобня,150000.0
2270,homeowner,Красногорск,1,3,3,84.0,9000000,2005,42.0,23.0,д. Сабурово, Северная,Красногорск,107142.86
2272,real_estate_agent,Ивантеевка,8,18,2,42.0,6300000,2014,24.0,11.0,Ивантеевка, Прокудина,Ивантеевка,150000.0
2276,developer,Ногинск,4,17,2,33.8,6039000,2024,16.80809647576328,10.2,Ногинск, Юбилейная,Ногинск,178668.64
2280,developer,Щёлково,14,20,2,80.8,12524000,2023,21.1,29.9,Щёлково,Советская ,Первомайская,155000.0
2282,homeowner,Щёлково,5,5,2,50.0,6800000,1964,29.0,6.5,Щёлково,Парковая ,Щёлковская,136000.0
2283,homeowner,Балашиха,18,22,2,61.5,9350000,2012,19.0,14.0,Балашиха, Свердлова,Щёлковская,152032.52
2285,homeowner,Щёлково,4,5,2,49.3,4900000,1961,29.1,8.7,мкр. Щелково-7,проспект 60 лет Октября,Щёлково,99391.48
2289,real_estate_agent,Раменское,5,19,2,41.1,6650000,2013,27.0,6.0,Залинейный, Лучистая,Фабричная,161800.49
2307,real_estate_agent,Коломна,1,9,3,59.6,5950000,1992,37.0,8.4,мкр. Щурово,Щуровская ,Коломна,99832.21
2308,real_estate_agent,Воскресенск,8,9,1,33.0,3700000,2014,18.0,9.0,Новлянский мкр, Кагана,Воскресенск,112121.21
2310,real_estate_agent,Воскресенск,5,5,2,54.7,3700000,1976,28.9,8.7,Воскресенск, Мичурина,Воскресенск,67641.68
2311,real_estate_agent,Люберцы,4,5,2,47.3,6500000,1965,30.4,6.0,Люберцы, Космонавтов,Панки,137420.72
2312,unknown,Королёв,4,5,1,30.0,5649000,1972,19.0,6.0,Королёв,Комитетская ,Медведково,188300.0
2313,real_estate_agent,Воскресенск,1,5,1,34.8,4524000,2024,18.60709603408256,9.2,Воскресенск, Ломоносова,Воскресенск,130000.0
2314,real_estate_agent,Воскресенск,2,5,1,31.0,3300000,2014,18.0,6.0,Центральный мкр, Победы,Воскресенск,106451.61
2316,real_estate_agent,Воскресенск,3,5,1,29.2,3095200,2024,15.598810251216179,8.8,Воскресенск, Ломоносова,Воскресенск,106000.0
2319,real_estate_agent,Воскресенск,4,5,1,34.4,3508800,2024,18.505231040484006,9.1,Воскресенск, Ломоносова,Воскресенск,102000.0
2320,real_estate_agent,Воскресенск,3,4,2,55.2,3200000,2014,37.0,6.0,Цемгигант мкр, Ленинская,Воскресенск,57971.01
2321,realtor,Воскресенск,2,9,3,57.0,4600000,1980,37.2,9.0,Новлянский мкр, Энгельса,Воскресенск,80701.75
2323,real_estate_agent,Воскресенск,3,5,2,42.0,3800000,2014,31.0,6.0,Центральный мкр, Колина,Воскресенск,90476.19
2325,real_estate_agent,Воскресенск,4,5,1,47.2,4720000,2024,25.636023959347682,10.0,Воскресенск, Ломоносова,Воскресенск,100000.0
2328,real_estate_agent,Воскресенск,1,5,1,43.4,4383400,2024,23.58013234215008,9.8,Воскресенск, Ломоносова,Воскресенск,101000.0
2331,real_estate_agent,Воскресенск,1,3,1,38.0,3100000,2014,18.0,8.0,Колыберево мкр, 8 Марта,Воскресенск,81578.95
2332,real_estate_agent,Воскресенск,2,3,2,47.7,2970000,1930,29.7,13.0,Колыберево мкр, Дзержинского,Воскресенск,62264.15
2333,real_estate_agent,Воскресенск,2,5,1,32.0,3300000,1968,18.0,6.0,Лопатинский мкр, Комсомольская,Воскресенск,103125.0
2336,real_estate_agent,Воскресенск,6,14,1,39.0,4100000,2014,20.0,10.0,Воскресенск, Ломоносова,Воскресенск,105128.21
2337,realtor,Воскресенск,6,17,1,42.5,5850000,2011,23.049452494447934,11.0,Центральный мкр, Победы,Воскресенск,137647.06
2338,real_estate_agent,Воскресенск,4,5,1,31.0,2999999,1966,17.0,6.0,Лопатинский мкр, Комсомольская,Воскресенск,96774.16
2340,real_estate_agent,Воскресенск,2,5,2,56.6,4899999,1974,37.0,9.0,Новлянский мкр, Новлянская,Воскресенск,86572.42
2342,real_estate_agent,Воскресенск,6,9,2,41.7,4900000,1967,23.0,7.0,Центральный мкр, Менделеева,Воскресенск,117506.0
2354,real_estate_agent,Воскресенск,4,4,2,49.3,6000000,2014,34.0,7.0,Центральный мкр, Победы,Воскресенск,121703.85
2355,real_estate_agent,Воскресенск,2,9,2,55.0,4350000,2014,30.0,9.0,Воскресенск,Рабочая ,Воскресенск,79090.91
2356,real_estate_agent,Воскресенск,4,5,2,43.7,3100000,2014,24.630824884250245,6.0,Воскресенск, Калинина,Воскресенск,70938.22
2357,real_estate_agent,Воскресенск,2,9,3,72.0,6000000,2014,60.0,9.0,Новлянский мкр, Зелинского,Воскресенск,83333.33
2360,real_estate_agent,Воскресенск,5,12,2,48.3,4150000,2014,29.6,7.5,Новлянский мкр, Кагана,Воскресенск,85921.33
2363,real_estate_agent,Воскресенск,1,5,2,53.2,4100000,2014,30.0,9.0,Воскресенск, Мичурина,Воскресенск,77067.67
